Race UID,year,Race Title,N Participants,Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,Last Time,N DNF,N Women,N Countries
36784,2024,THE JUMPING GORILLA MOUNTAIN ULTRA RUNNING CHAMPIONSHIP BURJ 2024 - GORILLA50KM,51,50K,50.0,3130.0,11.0997,0.0,13.7775,35,4,3
36786,2023,THE JUMPING GORILLA MOUNTAIN TRAIL RUN CHAMPIONSHIP 2023 2023 - GORILLA100KM,21,100K,100.0,4000.0,24.5135,0.0,27.9892,11,0,2
36786,2024,THE JUMPING GORILLA MOUNTAIN ULTRA RUNNING CHAMPIONSHIP BURJ 2024 - GORILLA100KM,17,100K,100.0,4000.0,27.6898,0.0,29.405,13,0,2
36788,2022,St Off en Trail 2022 - Trail des Crêt de Bange - TCB 34 - UTMB INDEX 50K - 2022,173,50K,34.0,2280.0,4.5951,0.0,6.4233,10,31,8
36794,2021,CHIOS HARDSTONE TRAIL 2021,57,20K,23.0,1200.0,3.2985,0.0,4.5328,2,8,2
36794,2022,CHIOS HARDSTONE TRAIL 2022,38,20K,23.0,1200.0,3.2823,2.0447,4.4331,0,7,2
36794,2023,CHIOS HARDSTONE TRAIL 2023,39,20K,23.0,1200.0,3.577,0.0,5.4717,2,11,3
36798,2021,Ultra-Trail® Australia 2021 - UTA11,690,-,11.0,477.0,2.0141,0.0,4.3597,1,418,19
36798,2022,Ultra-Trail Australia™ by UTMB® 2022 - UTA11,686,-,11.4,400.0,1.6445,0.7939,3.1558,0,446,20
36798,2023,Ultra-Trail Australia™ by UTMB® 2023 - UTA11,724,-,11.4,470.0,2.1764,0.0,5.0978,1,443,25
36800,2022,Bergspring  2022 - Sandared 27K+,42,20K,27.0,663.0,2.941,2.1519,4.2144,0,16,2
36800,2023,Bergspring  2023 - Sandared 27K+,49,20K,27.0,663.0,3.0399,2.0253,5.1439,0,16,2
36808,2023,Skyrace Pic de l'Orri 2023 - Trail50k,87,50K,51.0,3500.0,8.5507,5.675,11.5758,0,16,2
36810,2023,Skyrace Pic de l'Orri 2023 - Trail25k,169,20K,26.0,1500.0,3.7838,2.2953,6.0333,0,50,4
36814,2023,Extremo Tucuman 2023 - Extremo Tucumán Tafí 75k,48,100K,75.0,3950.0,13.1941,9.4294,16.6375,0,12,1
36816,2023,Extremo Tucuman 2023 - Extremo Tucumán Tafí 45k,146,50K,45.0,2450.0,8.569,5.0511,15.7219,0,42,2
36818,2023,Extremo Tucuman 2023 - Extremo Tucumán Tafí 21k,166,20K,21.0,1060.0,3.8288,2.0767,6.3658,0,80,1
36822,2023,Pomerania Summer Trail 2023 - Pomerania Summer Trail 10,62,-,10.0,250.0,0.9793,0.6217,1.5467,0,25,2
36824,2023,Pomerania Summer Trail 2023 - Pomerania Summer Trail 50,99,50K,52.0,1300.0,6.7898,0.0,8.8,2,28,2
36826,2023,Pomerania Summer Trail 2023 - Pomerania Summer Trail 24,92,20K,24.0,600.0,2.7183,0.0,4.1353,1,33,2
36834,2023,Ultra Paine 2023 - Ultra Paine - 21K,330,20K,21.0,940.0,3.3386,1.9194,5.7425,0,142,12
36836,2023,Ultra Paine 2023 - Ultra Paine - 14K,154,20K,14.0,785.0,2.0369,0.0,3.3311,1,84,9
36838,2022,Les 40 Bosses 2022 - Les 40 bosses - 43km Solo Nocturne,81,50K,44.0,2050.0,7.599,5.4794,9.0064,0,4,4
36840,2023,Xtreme Race by Salming 2023 - XTREME RACE 17K,430,20K,17.0,740.0,3.1317,1.5814,5.9375,0,259,2
36844,2023,OTW2023 2023 - Oxfam Trailwalker 2022,1439,100K,100.0,4750.0,29.049,0.0,46.7564,168,260,21
36852,2023,Lisi Trail Festival 2023 - Lisi 100K,17,100K,105.0,4400.0,18.4433,0.0,23.3286,5,2,6
36860,2023,Skytrail del Voltigno  2023,62,20K,19.0,1230.0,3.2096,2.1183,5.6878,0,11,1
36860,2024,Skytrail del Voltigno  2024,74,20K,19.0,1230.0,2.9267,1.9722,5.3161,0,11,1
36862,2023,Skytrail del Voltigno  2023 - Skymarathon del Voltigno ,78,50K,33.0,2130.0,5.6204,3.7336,8.41,0,13,1
36862,2024,Skytrail del Voltigno  2024 - Skymarathon del Voltigno ,102,50K,33.0,2130.0,5.7481,3.6367,8.2253,0,17,1
36864,2023,Trail Bem Viver 2023 - Trail Bem Viver 15K,238,20K,15.0,700.0,2.1973,1.3097,3.5992,0,55,3
36866,2023,Cabaran Gunung Nuang 2023 - CGN30 Extreme,106,50K,31.6,2700.0,12.3839,0.0,17.0308,9,21,6
36868,2023,Cabaran Gunung Nuang 2023 - CGN13 Challenge,59,20K,12.6,1100.0,4.6874,0.0,6.7928,2,15,5
36872,2023,Vučko trail 2023 - 105 km,31,100K,105.0,5700.0,24.3786,0.0,30.5206,14,7,9
36876,2023,Les 40 Bosses 2023 - Les 40 Bosses - 20 km Nocturne,345,20K,20.0,900.0,2.8875,0.0,4.7703,2,71,5
36878,2023,4º Trail Run Aqui Há-Os  2023 - Ultra Trail Aqui Há-Os ,79,50K,50.0,2000.0,6.1971,4.0922,9.0164,0,17,1
36880,2022,2 Trail Run Aqui Há-Os Microplásticos 2022 - 27K,69,20K,27.0,1390.0,3.5094,2.4169,4.9333,0,15,1
36880,2023,4º Trail Run Aqui Há-Os  2023 - 27k ,38,20K,27.0,1300.0,3.7759,0.0,5.1881,2,10,1
36882,2023,4º Trail Run Aqui Há-Os  2023 - 17k ,120,20K,17.0,900.0,2.7581,1.6703,4.5939,0,34,2
36884,2023,Anza Borrego Cuyamaca 50 (ABC 50) 2023,165,50K,80.0,1696.0,11.9751,0.0,14.4914,37,31,5
36890,2023,BigWayRound 2023 - BigWayRound 50K,154,50K,50.9,826.0,6.0051,3.9286,7.9967,0,42,4
36892,2023,BigWayRound 2023 - BigWayRound Marathon,125,20K,43.4,652.0,5.1718,3.5319,6.8097,0,51,2
36896,2023,BigSea 2023 - BigSea 50K,109,50K,50.0,1218.0,7.2464,4.6497,9.3814,0,38,4
369,2014,La Bouillonnante 2014 - 56 Km,447,50K,55.6,2300.0,7.7577,4.9864,10.1447,0,39,10
369,2015,La Bouillonnante 2015 - 56 Km,320,50K,62.5,2315.0,8.2587,5.2953,11.1575,0,31,7
369,2016,La Bouillonnante 2016 - 72 Km,374,100K,73.1,3290.0,11.3321,7.4244,14.1869,0,20,5
369,2017,La Bouillonnante 2017 - La Bouillonnante 50,556,50K,50.0,2500.0,7.239,0.0,9.6097,32,44,11
369,2019,La Bouillonnante 2019 - La Bouillonnante 50,548,50K,52.5,2570.0,7.6232,4.2897,9.9814,0,57,11
36900,2023,BigWayRound 2023 - BigWayRound 19 mile,92,20K,30.7,453.0,3.4112,2.2569,5.7211,0,47,2
36902,2023,BigWayRound 2023 - BigWayRound 14 mile,162,20K,23.2,292.0,2.5468,1.6356,4.4869,0,77,3
